run_id,run_dir,phase,market,interval,codebook_size,split_family,split_index,split_seed,train_symbols,val_symbols,test_symbols,train_candles,val_candles,test_candles,shape_val_train_l1,shape_test_train_l1,shape_val_train_max_diff,shape_test_train_max_diff,shape_train_entropy,shape_val_entropy,shape_test_entropy,shape_train_mean_sc,shape_val_mean_sc,shape_test_mean_sc,range_val_train_l1,range_test_train_l1,range_val_train_max_diff,range_test_train_max_diff,range_train_entropy,range_val_entropy,range_test_entropy,pair_val_train_l1,pair_test_train_l1,pair_val_train_max_diff,pair_test_train_max_diff,pair_train_entropy,pair_val_entropy,pair_test_entropy,kmeans_shape_val_train_l1,kmeans_shape_test_train_l1,kmeans_pair_val_train_l1,kmeans_pair_test_train_l1,kmeans_inertia_per_sample,kmeans_shape_mean_sc_train,kmeans_shape_mean_sc_val,kmeans_shape_mean_sc_test,notes
shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_04,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_04,1B,NASDAQ,1m,12,vol_holdout,4,4,"[""PLTR"", ""NFLX"", ""QQQ"", ""META"", ""TSLA"", ""GOOGL"", ""MSFT"", ""AVGO"", ""NVDA"", ""AAPL"", ""SOXX"", ""AMZN""]","[""MU"", ""RKLB"", ""QCOM""]","[""AMD"", ""INTC"", ""MRVL""]",144000,36000,36000,0.04559722222222221,0.0804444444444444,0.008874999999999994,0.010930555555555554,3.4679,3.450446,3.469445,0.19528,0.1958,0.195764,0.9879444444444445,0.8809444444444445,0.3204444444444445,0.2508888888888889,2.484184,2.121916,2.211566,0.9915416666666668,0.8964166666666666,0.05677083333333334,0.04299305555555555,5.873529,5.456085,5.579297,0.044374999999999984,0.0887083333333333,0.9918472222222221,0.896,0.04841724310980903,0.1940124637264171,0.19495264459154468,0.19445260345659268,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_00,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_00,1B,NASDAQ,1m,12,vol_strat,0,0,"[""RKLB"", ""PLTR"", ""AAPL"", ""NFLX"", ""SOXX"", ""QCOM"", ""META"", ""AMZN"", ""TSLA"", ""AMD"", ""QQQ"", ""MRVL""]","[""INTC"", ""NVDA"", ""GOOGL""]","[""MSFT"", ""AVGO"", ""MU""]",144000,36000,36000,0.18350000000000002,0.06772222222222223,0.026652777777777775,0.01098611111111111,3.500898,3.435447,3.485239,0.198429,0.198496,0.198908,0.159,0.13294444444444448,0.07541666666666667,0.059000000000000025,2.484184,2.446273,2.467096,0.22562500000000002,0.15493055555555557,0.026652777777777775,0.01098611111111111,5.900237,5.84415,5.869466,0.18320833333333333,0.06448611111111113,0.22486111111111112,0.15383333333333332,0.047946431477864586,0.19364719231855723,0.19417411632953874,0.1946819771651385,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_01,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_01,1B,NASDAQ,1m,12,vol_strat,1,1,"[""NFLX"", ""AVGO"", ""QQQ"", ""MSFT"", ""SOXX"", ""AMD"", ""TSLA"", ""MU"", ""PLTR"", ""MRVL"", ""QCOM"", ""GOOGL""]","[""META"", ""AMZN"", ""RKLB""]","[""NVDA"", ""INTC"", ""AAPL""]",144000,36000,36000,0.05641666666666664,0.13054166666666667,0.012972222222222218,0.022,3.475093,3.455251,3.44194,0.196583,0.195966,0.196809,0.08916666666666667,0.07727777777777778,0.027499999999999997,0.034083333333333354,2.484184,2.504794,2.472244,0.12640277777777778,0.14805555555555555,0.012388888888888887,0.022,5.876437,5.899657,5.871509,0.05515277777777778,0.13911111111111107,0.1295,0.15675,0.04808887736002604,0.1940849388541395,0.19275497857241222,0.19510544895833903,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_02,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_02,1B,NASDAQ,1m,12,vol_strat,2,2,"[""AMD"", ""NFLX"", ""AVGO"", ""AAPL"", ""NVDA"", ""MRVL"", ""PLTR"", ""RKLB"", ""MSFT"", ""META"", ""AMZN"", ""MU""]","[""SOXX"", ""QCOM"", ""GOOGL""]","[""QQQ"", ""TSLA"", ""INTC""]",144000,36000,36000,0.17838888888888882,0.1277083333333333,0.036875,0.02170138888888888,3.493914,3.483108,3.430668,0.19575,0.192568,0.194996,0.0833888888888889,0.25166666666666665,0.03336111111111109,0.1258333333333333,2.484184,2.492437,2.402829,0.1913611111111111,0.29215277777777776,0.036875,0.019597222222222217,5.911481,5.828649,5.814021,0.17823611111111107,0.12701388888888887,0.19155555555555556,0.29313888888888884,0.049210306803385416,0.1945301523736623,0.1912853330290554,0.19375497520313556,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_03,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_03,1B,NASDAQ,1m,12,vol_strat,3,3,"[""NVDA"", ""MSFT"", ""INTC"", ""MU"", ""NFLX"", ""TSLA"", ""MRVL"", ""PLTR"", ""AVGO"", ""QCOM"", ""GOOGL"", ""QQQ""]","[""META"", ""AMZN"", ""RKLB""]","[""AAPL"", ""SOXX"", ""AMD""]",144000,36000,36000,0.0682638888888889,0.10890277777777779,0.014472222222222227,0.028416666666666666,3.46195,3.449267,3.478418,0.195708,0.19436,0.194714,0.06750000000000003,0.07827777777777775,0.02186111111111111,0.021444444444444433,2.484184,2.500159,2.430309,0.12625,0.16097222222222218,0.004618055555555556,0.028416666666666666,5.887562,5.889885,5.773656,0.06663888888888889,0.109125,0.12541666666666668,0.1587361111111111,0.049068484836154516,0.19465768082565538,0.19288766216378728,0.19375672377304007,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_04,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_04,1B,NASDAQ,1m,12,vol_strat,4,4,"[""QQQ"", ""AMZN"", ""MRVL"", ""NVDA"", ""QCOM"", ""PLTR"", ""META"", ""MSFT"", ""GOOGL"", ""INTC"", ""SOXX"", ""MU""]","[""NFLX"", ""TSLA"", ""RKLB""]","[""AMD"", ""AVGO"", ""AAPL""]",144000,36000,36000,0.03640277777777777,0.030999999999999993,0.009312500000000001,0.012513888888888894,3.481887,3.485986,3.487282,0.195825,0.195878,0.196309,0.06366666666666672,0.08438888888888886,0.02491666666666667,0.029194444444444467,2.484184,2.515801,2.450179,0.10020833333333334,0.11436111111111111,0.006333333333333333,0.00548611111111111,5.898543,5.919209,5.848261,0.035083333333333286,0.030277777777777806,0.09829166666666667,0.11434722222222224,0.04852695041232639,0.1942302103438113,0.19447187877918862,0.19427553982985565,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_05,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_05,1B,NASDAQ,1m,12,vol_strat,5,5,"[""PLTR"", ""NVDA"", ""GOOGL"", ""QQQ"", ""SOXX"", ""MSFT"", ""MU"", ""MRVL"", ""QCOM"", ""AAPL"", ""AMZN"", ""INTC""]","[""AMD"", ""TSLA"", ""NFLX""]","[""AVGO"", ""RKLB"", ""META""]",144000,36000,36000,0.06005555555555555,0.07199999999999997,0.01640972222222223,0.009944444444444436,3.474798,3.493568,3.476823,0.195821,0.196703,0.194389,0.10588888888888884,0.14099999999999996,0.028805555555555556,0.04597222222222222,2.484184,2.434701,2.514245,0.1310277777777778,0.17194444444444443,0.007645833333333338,0.007208333333333334,5.892078,5.844743,5.887052,0.05890277777777778,0.07359722222222226,0.13304166666666667,0.16883333333333334,0.048585517035590275,0.19442743565065024,0.195474571949943,0.19239719438445377,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_06,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_06,1B,NASDAQ,1m,12,vol_strat,6,6,"[""TSLA"", ""NFLX"", ""AVGO"", ""MRVL"", ""GOOGL"", ""AAPL"", ""QCOM"", ""PLTR"", ""NVDA"", ""INTC"", ""MU"", ""MSFT""]","[""AMZN"", ""RKLB"", ""QQQ""]","[""AMD"", ""META"", ""SOXX""]",144000,36000,36000,0.061999999999999965,0.08812499999999997,0.012770833333333342,0.027951388888888887,3.459835,3.420059,3.478829,0.195865,0.194885,0.193531,0.3166111111111111,0.08566666666666664,0.14833333333333332,0.03386111111111109,2.484184,2.39806,2.424461,0.3473333333333333,0.1411944444444444,0.02709722222222222,0.027951388888888887,5.880077,5.796611,5.771923,0.06129166666666668,0.09311111111111109,0.34670833333333334,0.14297222222222222,0.04910957845052083,0.19452382770472934,0.193390656750134,0.19272918886066367,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_07,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_07,1B,NASDAQ,1m,12,vol_strat,7,7,"[""MSFT"", ""RKLB"", ""AMZN"", ""SOXX"", ""MU"", ""META"", ""INTC"", ""QCOM"", ""TSLA"", ""AVGO"", ""QQQ"", ""GOOGL""]","[""AMD"", ""AAPL"", ""PLTR""]","[""MRVL"", ""NFLX"", ""NVDA""]",144000,36000,36000,0.09798611111111116,0.05769444444444441,0.01923611111111112,0.012736111111111115,3.494717,3.477629,3.509713,0.195265,0.196537,0.195305,0.1421111111111111,0.051666666666666666,0.05325000000000002,0.0188888888888889,2.484184,2.43371,2.46786,0.1746666666666667,0.13004166666666667,0.014736111111111111,0.012430555555555552,5.906842,5.859041,5.865778,0.09938888888888889,0.05295833333333336,0.1755138888888889,0.13088888888888886,0.048468105740017364,0.19429234693683514,0.19568501242109126,0.19438240755272654,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_08,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_08,1B,NASDAQ,1m,12,vol_strat,8,8,"[""QQQ"", ""PLTR"", ""NVDA"", ""RKLB"", ""INTC"", ""META"", ""MRVL"", ""GOOGL"", ""AMD"", ""AVGO"", ""MSFT"", ""AMZN""]","[""QCOM"", ""NFLX"", ""TSLA""]","[""MU"", ""SOXX"", ""AAPL""]",144000,36000,36000,0.08194444444444444,0.130125,0.020430555555555556,0.03209722222222222,3.456234,3.473718,3.464852,0.197185,0.196897,0.197451,0.02944444444444446,0.04455555555555555,0.011222222222222245,0.01813888888888887,2.484184,2.499575,2.47576,0.101,0.14793055555555554,0.020430555555555556,0.03209722222222222,5.89416,5.872242,5.805239,0.07568055555555554,0.1311388888888889,0.10276388888888889,0.14590277777777777,0.04920693630642361,0.2108554912995265,0.21419206411410807,0.2144903939433741,
shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_09,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_strat_09,1B,NASDAQ,1m,12,vol_strat,9,9,"[""QCOM"", ""QQQ"", ""RKLB"", ""GOOGL"", ""AVGO"", ""AAPL"", ""TSLA"", ""PLTR"", ""MU"", ""NFLX"", ""AMD"", ""AMZN""]","[""MRVL"", ""SOXX"", ""META""]","[""MSFT"", ""INTC"", ""NVDA""]",144000,36000,36000,0.18705555555555553,0.14541666666666667,0.04439583333333333,0.02005555555555555,3.488926,3.490094,3.442528,0.195558,0.191636,0.195754,0.037888888888888896,0.09899999999999998,0.017361111111111105,0.041166666666666685,2.484184,2.47023,2.460294,0.21168055555555557,0.17504166666666665,0.04439583333333333,0.01657638888888889,5.913516,5.786811,5.869642,0.1832083333333333,0.14520833333333338,0.20556944444444447,0.17009722222222223,0.049158976236979166,0.19425268631444378,0.18974068998521323,0.19415953695500276,
